Year,Units,Доходы бюджета,Value
2010,"Доля к ВВП, в процентах",,13.449512659178328
2011,"Доля к ВВП, в процентах",,14.10023908200086
2012,"Доля к ВВП, в процентах",,13.204390372567033
2013,"Доля к ВВП, в процентах",,13.275371720225834
2014,"Доля к ВВП, в процентах",,12.0
2015,"Доля к ВВП, в процентах",,11.0
2016,"Доля к ВВП, в процентах",,12.0
2017,"Доля к ВВП, в процентах",,12.0
2018,"Доля к ВВП, в процентах",,13.4
2010,млн.тенге,Налоговые поступления,2934080720.5802
2011,млн.тенге,Налоговые поступления,3982337954.7555
2012,млн.тенге,Налоговые поступления,4095366313.4441
2013,млн.тенге,Налоговые поступления,4779004397.6824
2014,млн.тенге,Налоговые поступления,5115244101.33998
2015,млн.тенге,Налоговые поступления,4883589901.38814
2016,млн.тенге,Налоговые поступления,6023262753.336421
2017,млн.тенге,Налоговые поступления,6810851289.54264
2018,млн.тенге,Налоговые поступления,7890048341.5
2010,млн.тенге,Корпоративный подоходный налог,837233485.8156
2011,млн.тенге,Корпоративный подоходный налог,1050380051.5758
2012,млн.тенге,Корпоративный подоходный налог,1041216834.8762
2013,млн.тенге,Корпоративный подоходный налог,1032736596.9465
2014,млн.тенге,Корпоративный подоходный налог,1169666806.4632
2015,млн.тенге,Корпоративный подоходный налог,1224645230.27333
2016,млн.тенге,Корпоративный подоходный налог,1437364514.30398
2017,млн.тенге,Корпоративный подоходный налог,1538785451.60939
2018,млн.тенге,Корпоративный подоходный налог,1687576978.1008
2010,"Доля к ВВП, в процентах",Корпоративный подоходный налог,3.837788881260985
2011,"Доля к ВВП, в процентах",Корпоративный подоходный налог,3.7190740772005846
2012,"Доля к ВВП, в процентах",Корпоративный подоходный налог,3.3571193631838407
2013,"Доля к ВВП, в процентах",Корпоративный подоходный налог,2.868790457735201
2014,"Доля к ВВП, в процентах",Корпоративный подоходный налог,2.948058606384543
2015,"Доля к ВВП, в процентах",Корпоративный подоходный налог,2.9954046287367824
2016,"Доля к ВВП, в процентах",Корпоративный подоходный налог,3.060100751852957
2017,"Доля к ВВП, в процентах",Корпоративный подоходный налог,2.89783108702546
2018,"Доля к ВВП, в процентах",Корпоративный подоходный налог,2.8974801987727234
2010,млн.тенге,Индивидуальный подоходный налог,312331729.7058
2011,млн.тенге,Индивидуальный подоходный налог,376245074.8671
2012,млн.тенге,Индивидуальный подоходный налог,438497838.4627
2013,млн.тенге,Индивидуальный подоходный налог,492991056.3221
2014,млн.тенге,Индивидуальный подоходный налог,552280283.57987
2015,млн.тенге,Индивидуальный подоходный налог,598806790.41336
2016,млн.тенге,Индивидуальный подоходный налог,691778129.83524
2017,млн.тенге,Индивидуальный подоходный налог,750211816.07174
2018,млн.тенге,Индивидуальный подоходный налог,838394478.84444
2010,"Доля к ВВП, в процентах",Индивидуальный подоходный налог,1.431695291501916
2011,"Доля к ВВП, в процентах",Индивидуальный подоходный налог,1.332168582708129
2012,"Доля к ВВП, в процентах",Индивидуальный подоходный налог,1.413816541289808
2013,"Доля к ВВП, в процентах",Индивидуальный подоходный налог,1.369456686542603
2014,"Доля к ВВП, в процентах",Индивидуальный подоходный налог,1.3919815747078368
2015,"Доля к ВВП, в процентах",Индивидуальный подоходный налог,1.4646434635791328
2016,"Доля к ВВП, в процентах",Индивидуальный подоходный налог,1.4727723929161625
2017,"Доля к ВВП, в процентах",Индивидуальный подоходный налог,1.4127941749077353
2018,"Доля к ВВП, в процентах",Индивидуальный подоходный налог,1.4394788698445034
2010,млн.тенге,Социальный налог,253829912.8023
2011,млн.тенге,Социальный налог,296843078.9856
2012,млн.тенге,Социальный налог,340996885.856
2013,млн.тенге,Социальный налог,380477071.9693
2014,млн.тенге,Социальный налог,427984814.10445
2015,млн.тенге,Социальный налог,464673530.56258
