Year,Units,Пол,Регионы,Местность,Образование,Брачное состояние,гражданство,Value
2010,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,11.520041772389428
2011,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,9.796345488207358
2012,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,9.025247079256886
2013,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,7.134815212675853
2014,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,5.885166625345284
2015,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,5.606613495023315
2016,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,5.156054245883391
2017,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,4.614848486401444
2018,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,4.58
2010,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,9.649892335911957
2011,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,10.019723865877713
2012,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,6.9211877651261435
2013,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,8.088978766430737
2014,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,5.6236819495430765
2015,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,4.181789490295093
2016,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,3.921254801536492
2017,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,3.8189648167709436
2018,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,3.38
2010,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,12.109920819748487
2011,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,7.195862379132
2012,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,8.72523733743072
2013,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,7.463880151410142
2014,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,5.757961783439491
2015,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,6.0560560560560575
2016,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,5.5136830391016245
2017,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,4.389173372348208
2018,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,5.15
2010,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,8.588310233487821
2011,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,7.858075750979538
2012,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,7.509333333333332
2013,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,5.611139762764312
2014,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,5.197609099814086
2015,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,5.065980308044287
2016,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,4.5799426032944135
2017,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,4.682809685811487
2018,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,4.15
2010,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,11.838299589695296
2011,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,11.752415774353617
2012,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,11.548825869369947
2013,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,5.726735138499844
2014,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,4.637256696564768
2015,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,4.749147588894301
2016,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,4.84160191273162
2017,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,4.378762999452655
2018,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,6.05
2010,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,9.964830011723327
2011,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,8.826496301277743
2012,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,7.082494969818914
2013,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,5.34465141869056
2014,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,5.5981595092024525
2015,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,4.855865577308463
2016,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,5.157766990291263
2017,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,4.9766718506998435
2018,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,3.98
2010,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,11.08934443433849
2011,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,9.554250773025744
2012,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,8.721339147559434
2013,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,9.278814527576776
2014,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,6.4568473006321625
2015,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,6.44184736693889
2016,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,4.6584403115109705
2017,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,4.042770242188387
2018,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,3.28
2010,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,9.548574108018245
2011,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,6.586801696101436
2012,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,6.895707524073773
2013,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,6.320907617504053
2014,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,5.5392766828563405
2015,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,5.143696930111038
2016,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,5.093945720250521
2017,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,4.710336326818101
2018,на 1000 родившихся,мальчики и девочки,Карагандинская,,,,,4.88
2010,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,9.2657478782216
2011,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,7.768361581920903
2012,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,9.688000610267755
2013,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,6.677411927239236
2014,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,7.44339105226044
2015,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,6.891690813689404
2016,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,5.370219690805533
2017,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,7.072256305385141
2018,на 1000 родившихся,мальчики и девочки,Костанайская,,,,,6.19
2010,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,15.380005992210126
2011,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,11.829613797902482
2012,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,13.006923837784374
2013,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,8.590017281691573
2014,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,6.9751449061793895
2015,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,6.149311378767088
2016,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,6.0760282509347725
2017,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,3.9513197407934246
2018,на 1000 родившихся,мальчики и девочки,Кызылординская,,,,,4.95
2010,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,13.865404125803176
2011,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,12.627519283403833
2012,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,9.080188679245284
2013,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,6.331186551686497
2014,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,4.817258351659858
2015,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,4.610204610204612
2016,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,5.607759927250682
2017,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,5.056759545923633
2018,на 1000 родившихся,мальчики и девочки,Мангистауская,,,,,5.53
2010,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,12.794046435762164
2011,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,,,,10.22744427112162
