Year,Units,Value
2010,"на 1 000 женщин
 в данной возрастной группе",100.0
2011,"на 1 000 женщин
 в данной возрастной группе",100.0
2012,"на 1 000 женщин
 в данной возрастной группе",100.0
2013,"на 1 000 женщин
 в данной возрастной группе",100.0
2014,"на 1 000 женщин
 в данной возрастной группе",100.0
2015,"на 1 000 женщин
 в данной возрастной группе",100.0
2016,"на 1 000 женщин
 в данной возрастной группе",100.0
2017,"на 1 000 женщин
 в данной возрастной группе",100.0
2018,"на 1 000 женщин
 в данной возрастной группе",100.0
2010,"на 1 000 женщин
 в данной возрастной группе",100.0
2011,"на 1 000 женщин
 в данной возрастной группе",100.0
2012,"на 1 000 женщин
 в данной возрастной группе",100.0
2013,"на 1 000 женщин
 в данной возрастной группе",100.0
2014,"на 1 000 женщин
 в данной возрастной группе",100.0
2015,"на 1 000 женщин
 в данной возрастной группе",100.0
2016,"на 1 000 женщин
 в данной возрастной группе",100.0
2017,"на 1 000 женщин
 в данной возрастной группе",100.0
2018,"на 1 000 женщин
 в данной возрастной группе",100.0
2010,"на 1 000 женщин
 в данной возрастной группе",58.89666650349993
2011,"на 1 000 женщин
 в данной возрастной группе",60.584772176322176
2012,"на 1 000 женщин
 в данной возрастной группе",63.867197092480716
2013,"на 1 000 женщин
 в данной возрастной группе",65.3803482707057
2014,"на 1 000 женщин
 в данной возрастной группе",66.35296448561098
2015,"на 1 000 женщин
 в данной возрастной группе",67.59705949919595
2016,"на 1 000 женщин
 в данной возрастной группе",69.3631110822567
2017,"на 1 000 женщин
 в данной возрастной группе",70.87335599231565
2018,"на 1 000 женщин
 в данной возрастной группе",71.10569971843847
2010,"на 1 000 женщин
 в данной возрастной группе",41.10333349650007
2011,"на 1 000 женщин
 в данной возрастной группе",39.415227823677824
2012,"на 1 000 женщин
 в данной возрастной группе",36.132802907519284
2013,"на 1 000 женщин
 в данной возрастной группе",34.61965172929429
2014,"на 1 000 женщин
 в данной возрастной группе",33.647035514389025
2015,"на 1 000 женщин
 в данной возрастной группе",32.402940500804036
2016,"на 1 000 женщин
 в данной возрастной группе",30.636888917743303
2017,"на 1 000 женщин
 в данной возрастной группе",29.12664400768435
2018,"на 1 000 женщин
 в данной возрастной группе",28.89430028156153
2010,"на 1 000 женщин
 в данной возрастной группе",100.0
2011,"на 1 000 женщин
 в данной возрастной группе",100.0
2012,"на 1 000 женщин
 в данной возрастной группе",100.0
2013,"на 1 000 женщин
 в данной возрастной группе",100.0
2014,"на 1 000 женщин
 в данной возрастной группе",100.0
2015,"на 1 000 женщин
 в данной возрастной группе",100.0
2016,"на 1 000 женщин
 в данной возрастной группе",100.0
2017,"на 1 000 женщин
 в данной возрастной группе",100.0
2018,"на 1 000 женщин
 в данной возрастной группе",100.0
