Year,Units,Value
2010,"процент, в ценах 2010 года",11.3
2011,"процент, в ценах 2010 года",11.3
2012,"процент, в ценах 2010 года",11.1
2013,"процент, в ценах 2010 года",10.8
2014,"процент, в ценах 2010 года",10.5
2015,"процент, в ценах 2010 года",10.4
2016,"процент, в ценах 2010 года",10.5
2017,"процент, в ценах 2010 года",10.7
2018,"процент, в ценах 2010 года",10.7
2010,"процент, в ценах 2010 года",109.1
2011,"процент, в ценах 2010 года",112.1
2012,"процент, в ценах 2010 года",102.8
2013,"процент, в ценах 2010 года",102.1
2014,"процент, в ценах 2010 года",103.8
2015,"процент, в ценах 2010 года",97.3
2016,"процент, в ценах 2010 года",99.0
2017,"процент, в ценах 2010 года",103.6
2018,"процент, в ценах 2010 года",101.4
